User_ID,Nitrogen,Phosphorus,Potassium,Zinc,Iron,Boron,Manganese,Copper,pH,Temperature,Rainfall,Humidity,Prediction1,Prediction2,Prediction3,Feedback,Time,Reason,Other_Reason
588136d8-e6cc-433f-adda-aed793ae9ce7,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Correct,25:40.9,,
USER_002,70.0,120.0,70.0,3.0,20.0,1.0,12.0,1.0,2.0,10.0,400.0,50.03,Maize,Rice,Cotton,Pending,34:55.5,,
User_114253,148.85,161.15,23.08,,,,,,1.83,25.0,100.0,9.62,Cotton,Wheat,Maize,Correct,42:53.6,,
User_114648,101.54,50.0,50.0,3.0,20.0,0.53,7.54,0.35,7.0,25.0,317.31,18.85,Rice,Maize,Wheat,Correct,46:48.3,,
User_5,120.77,151.15,159.23,2.2,15.04,1.64,7.57,0.32,2.58,7.6,100.0,50.0,Cotton,Maize,Wheat,Correct,57:06.0,,
User_6,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,3.39,11.73,100.0,15.58,Wheat,Groundnut,Maize,Correct,04:06.9,,
User_7,60.33,50.0,50.0,3.0,20.0,1.0,12.0,1.0,2.91,7.02,259.62,16.35,Rice,Wheat,Maize,Correct,47:57.5,,
User_8,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Wrong,07:18.6,,
User_9,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,16:31.6,,
User_10,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,52:24.9,,
User_11,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Correct,59:13.8,,
User_12,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,03:38.8,,
User_13,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,20:45.7,,
User_14,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,23:37.5,,
User_15,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,24:25.1,,
User_16,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Pending,24:41.7,,
User_17,50.0,50.0,50.0,3.0,20.0,1.0,12.0,1.0,7.0,25.0,100.0,50.0,Groundnut,Cotton,Wheat,Correct,25:51.2,,
